iter	Passed	Remaining
0	1	1403
1	3	1526
2	4	1521
3	5	1463
4	7	1450
5	8	1437
6	10	1484
7	12	1488
8	13	1475
9	14	1470
10	16	1464
11	17	1459
12	19	1474
13	20	1470
14	23	1515
15	24	1508
16	25	1500
17	27	1489
18	28	1488
19	30	1478
20	31	1472
21	32	1464
22	34	1459
23	35	1457
24	37	1459
25	38	1449
26	40	1475
27	42	1465
28	43	1465
29	45	1471
30	47	1470
31	48	1471
32	50	1467
33	51	1467
34	53	1465
35	54	1462
36	56	1463
37	57	1462
38	59	1463
39	61	1464
40	62	1461
41	64	1459
42	65	1459
43	68	1478
44	69	1473
45	71	1472
46	72	1468
47	74	1468
48	75	1470
49	77	1474
50	79	1470
51	80	1468
52	82	1467
53	83	1464
54	85	1464
55	86	1462
56	88	1462
57	90	1462
58	91	1464
59	93	1461
60	94	1462
61	96	1460
62	98	1459
63	99	1458
64	101	1456
65	102	1454
66	103	1442
67	104	1429
68	105	1425
69	107	1421
70	108	1420
71	110	1418
72	111	1415
73	113	1414
74	114	1411
75	116	1411
76	117	1408
77	119	1407
78	120	1405
79	122	1404
80	123	1401
81	125	1400
82	126	1398
83	128	1399
84	129	1396
85	131	1395
86	132	1394
87	134	1393
88	136	1394
89	137	1392
90	139	1392
91	140	1389
92	142	1388
93	144	1389
94	145	1386
95	147	1386
96	148	1383
97	150	1382
98	151	1381
99	153	1380
100	154	1378
101	156	1376
102	157	1375
103	159	1374
104	160	1369
105	161	1364
106	163	1363
107	165	1363
108	166	1360
109	168	1360
110	169	1359
111	171	1358
112	172	1352
113	173	1350
114	175	1347
115	176	1348
116	178	1345
117	179	1343
118	180	1339
119	182	1339
120	184	1338
121	185	1338
122	187	1336
123	189	1335
124	190	1334
125	192	1334
126	193	1333
127	195	1332
128	197	1331
129	198	1331
130	200	1332
131	202	1330
132	203	1329
133	205	1327
134	207	1331
135	209	1331
136	211	1330
137	212	1328
138	214	1328
139	216	1326
140	217	1325
141	219	1323
142	220	1321
143	221	1319
144	223	1316
145	224	1314
146	226	1312
147	227	1307
148	228	1306
149	230	1305
150	232	1304
151	233	1304
152	235	1303
153	236	1301
154	238	1299
155	239	1298
156	241	1296
157	243	1295
158	244	1293
159	245	1291
160	247	1290
161	249	1289
162	250	1287
163	252	1286
164	254	1285
165	255	1284
166	256	1281
167	258	1279
168	259	1278
169	261	1276
170	262	1274
171	264	1273
172	265	1270
173	267	1269
174	268	1267
175	270	1266
176	271	1264
177	273	1263
178	275	1261
179	276	1259
180	277	1257
181	279	1255
182	280	1254
183	282	1253
184	284	1252
185	285	1250
186	287	1248
187	288	1247
188	290	1246
189	292	1245
190	293	1243
191	295	1243
192	297	1242
193	298	1241
194	300	1239
195	301	1237
196	303	1236
197	304	1235
198	306	1234
199	308	1232
200	309	1230
201	311	1228
202	312	1227
203	314	1225
204	315	1223
205	317	1223
206	318	1221
207	320	1220
208	322	1218
209	323	1216
210	325	1215
211	326	1213
212	328	1212
213	329	1211
214	331	1209
215	332	1207
216	334	1206
217	335	1204
218	337	1203
219	339	1201
220	340	1199
221	342	1198
222	343	1197
223	345	1195
224	346	1194
225	348	1192
226	349	1190
227	350	1188
228	352	1187
229	354	1185
230	355	1184
231	357	1182
232	358	1180
233	360	1179
234	361	1176
235	363	1175
236	364	1174
237	366	1173
238	368	1172
239	369	1171
240	371	1168
241	372	1168
242	374	1166
243	376	1165
244	378	1165
245	379	1163
246	380	1161
247	382	1159
248	383	1158
249	385	1156
250	387	1155
251	388	1153
252	390	1152
253	391	1150
254	393	1148
255	394	1147
256	396	1145
257	397	1144
258	399	1143
259	401	1141
260	402	1139
261	404	1138
262	405	1136
263	407	1135
264	408	1133
265	410	1131
266	411	1130
267	413	1129
268	414	1127
269	416	1125
270	417	1123
271	419	1122
272	420	1120
273	422	1118
274	424	1118
275	425	1117
276	427	1116
277	429	1114
278	430	1113
279	432	1111
280	433	1110
281	435	1109
282	437	1107
283	438	1106
284	440	1105
285	442	1104
286	443	1102
287	445	1100
288	446	1099
289	448	1098
290	450	1096
291	451	1095
292	452	1092
293	454	1091
294	455	1089
295	457	1088
296	459	1086
297	460	1085
298	462	1084
299	464	1083
300	465	1081
301	467	1080
302	469	1079
303	470	1077
304	472	1075
305	473	1074
306	475	1072
307	476	1071
308	478	1070
309	480	1068
310	481	1066
311	483	1065
312	484	1063
313	486	1061
314	487	1060
315	488	1058
316	490	1056
317	491	1054
318	493	1053
319	495	1052
320	496	1051
321	498	1049
322	500	1048
323	501	1047
324	504	1047
325	505	1046
326	507	1044
327	509	1043
328	511	1042
329	512	1040
330	513	1038
331	515	1037
332	517	1035
333	518	1034
334	520	1032
335	521	1031
336	523	1029
337	524	1027
338	526	1026
339	528	1025
340	529	1023
341	530	1021
342	532	1019
343	533	1018
344	535	1016
345	537	1015
346	538	1013
347	540	1011
348	541	1010
349	543	1008
350	544	1007
351	546	1005
352	548	1004
353	549	1003
354	551	1002
355	552	1000
356	554	998
357	555	996
358	557	995
359	559	993
360	560	992
361	562	990
362	563	989
363	565	987
364	567	987
365	569	985
366	570	984
367	572	982
368	573	981
369	575	979
370	576	977
371	578	976
372	579	974
373	581	973
374	583	972
375	584	970
376	586	968
377	587	966
378	589	965
379	590	963
380	592	962
381	593	960
382	595	959
383	596	957
384	598	955
385	599	954
386	601	952
387	602	950
388	604	949
389	605	947
390	607	946
391	609	944
392	610	943
393	612	941
394	613	940
395	615	938
396	616	936
397	618	935
398	620	934
399	621	932
400	623	930
401	624	929
402	626	928
403	627	926
404	629	924
405	630	923
406	632	921
407	634	919
408	635	918
409	637	917
410	638	915
411	640	913
412	641	911
413	643	910
414	644	908
415	646	907
416	647	905
417	649	904
418	650	902
419	652	900
420	653	899
421	655	897
422	656	896
423	658	894
424	659	892
425	661	891
426	663	889
427	664	888
428	666	886
429	667	884
430	668	883
431	670	881
432	671	879
433	673	877
434	674	876
435	676	874
436	678	874
437	679	872
438	681	870
439	682	869
440	684	867
441	685	865
442	687	864
443	688	862
444	690	860
445	691	859
446	693	857
447	694	855
448	696	854
449	697	852
450	699	851
451	700	849
452	702	848
453	703	846
454	705	844
455	706	843
456	708	842
457	710	840
458	711	838
459	713	837
460	715	836
461	716	834
462	718	833
463	719	831
464	721	829
465	723	828
466	724	827
467	726	825
468	728	824
469	729	823
470	731	821
471	732	819
472	734	818
473	736	817
474	737	815
475	739	814
476	741	812
477	742	811
478	744	809
479	745	807
480	747	806
481	748	804
482	750	803
483	751	801
484	753	800
485	755	798
486	757	797
487	759	796
488	760	794
489	762	793
490	764	792
491	765	790
492	767	789
493	768	787
494	770	786
495	772	784
496	773	783
497	775	781
498	777	780
499	778	778
500	780	777
501	781	775
502	783	774
503	784	772
504	786	770
505	787	769
506	789	767
507	791	766
508	792	764
509	794	763
510	795	761
511	797	760
512	798	758
513	800	756
514	802	755
515	803	753
516	805	752
517	807	751
518	808	749
519	810	748
520	812	747
521	814	745
522	815	743
523	817	742
524	818	740
525	820	739
526	821	737
527	823	735
528	824	734
529	826	732
530	827	731
531	829	729
532	831	728
533	832	726
534	833	724
535	835	723
536	837	722
537	838	720
538	840	719
539	842	717
540	843	716
541	845	714
542	847	713
543	848	711
544	850	710
545	851	708
546	853	707
547	855	705
548	856	703
549	858	702
550	859	700
551	861	699
552	863	697
553	864	696
