,product_hash,sales_quantity,date_of_sale,requested_delivery_date,unit_price,unit_cost
187878,3b777b775721dfa8d36de2a320a03e53,1.0,2014-12-29T00:00:00,2015-01-07,11.6783,17.504
187947,3b777b775721dfa8d36de2a320a03e53,3.0,2014-12-29T00:00:00,2015-01-08,111.08,156.24
188196,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-08T00:00:00,2015-01-08,111.08,174.84
188212,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-08T00:00:00,2015-01-08,111.08,174.84
188261,3b777b775721dfa8d36de2a320a03e53,2.0,2015-01-08T00:00:00,2015-01-08,111.08,171.12
188132,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-08T00:00:00,2015-01-08,111.08,174.84
188822,3b777b775721dfa8d36de2a320a03e53,3.0,2015-01-12T00:00:00,2015-01-13,107.86,171.12
188843,3b777b775721dfa8d36de2a320a03e53,2.0,2015-01-12T00:00:00,2015-01-13,107.21,171.12
189179,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-14T00:00:00,2015-01-14,111.08,186.0
79405,3b777b775721dfa8d36de2a320a03e53,2.0,2015-01-19T00:00:00,2015-01-20,111.08,178.56
79639,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-21T00:00:00,2015-01-22,111.08,186.0
187729,3b777b775721dfa8d36de2a320a03e53,1.0,2014-12-08T00:00:00,2015-01-26,107.21,174.84
79359,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-19T00:00:00,2015-01-26,107.21,178.56
80298,3b777b775721dfa8d36de2a320a03e53,2.0,2015-01-27T00:00:00,2015-01-27,111.08,192.7
79980,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-23T00:00:00,2015-01-27,111.08,148.8
80047,3b777b775721dfa8d36de2a320a03e53,4.0,2015-01-26T00:00:00,2015-01-27,111.08,174.25
80488,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-28T00:00:00,2015-01-28,107.56,205.0
80430,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-28T00:00:00,2015-01-28,107.56,205.0
80067,3b777b775721dfa8d36de2a320a03e53,2.0,2015-01-26T00:00:00,2015-01-28,111.08,192.7
80576,3b777b775721dfa8d36de2a320a03e53,3.0,2015-01-28T00:00:00,2015-01-29,107.56,205.0
79757,3b777b775721dfa8d36de2a320a03e53,2.0,2015-01-21T00:00:00,2015-01-29,111.08,186.0
79988,3b777b775721dfa8d36de2a320a03e53,1.0,2015-01-23T00:00:00,2015-01-29,111.08,186.0
119397,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-04T00:00:00,2015-02-04,107.21,192.7
119374,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-04T00:00:00,2015-02-04,107.21,192.7
119683,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-06T00:00:00,2015-02-06,107.21,196.8
119618,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-05T00:00:00,2015-02-06,107.21,192.7
119961,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-09T00:00:00,2015-02-09,107.21,180.4
27335,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-10T00:00:00,2015-02-10,107.21,205.0
27329,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-10T00:00:00,2015-02-10,107.21,205.0
27456,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-11T00:00:00,2015-02-11,107.21,196.8
27885,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-17T00:00:00,2015-02-18,107.21,205.0
27935,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-18T00:00:00,2015-02-18,107.21,196.8
27943,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-18T00:00:00,2015-02-18,107.21,196.8
28218,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-19T00:00:00,2015-02-19,107.21,196.8
28194,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-19T00:00:00,2015-02-19,107.21,188.6
28099,3b777b775721dfa8d36de2a320a03e53,1.0,2015-02-18T00:00:00,2015-02-19,107.21,192.7
40660,3b777b775721dfa8d36de2a320a03e53,3.0,2015-02-26T00:00:00,2015-02-26,107.21,188.6
28420,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-23T00:00:00,2015-02-27,107.21,205.0
40860,3b777b775721dfa8d36de2a320a03e53,2.0,2015-02-27T00:00:00,2015-03-02,107.21,192.7
41142,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-03T00:00:00,2015-03-03,112.26,180.4
41282,3b777b775721dfa8d36de2a320a03e53,2.0,2015-03-03T00:00:00,2015-03-04,107.21,192.7
41539,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-04T00:00:00,2015-03-05,107.21,196.8
215840,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-10T00:00:00,2015-03-10,107.21,205.0
42062,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-09T00:00:00,2015-03-10,107.21,188.6
216084,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-11T00:00:00,2015-03-11,107.21,205.0
216133,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-11T00:00:00,2015-03-11,107.21,192.7
216246,3b777b775721dfa8d36de2a320a03e53,2.0,2015-03-11T00:00:00,2015-03-11,107.21,205.0
216728,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-16T00:00:00,2015-03-16,107.21,205.0
216718,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-16T00:00:00,2015-03-16,107.21,180.4
217229,3b777b775721dfa8d36de2a320a03e53,2.0,2015-03-18T00:00:00,2015-03-18,107.21,188.6
238603,3b777b775721dfa8d36de2a320a03e53,3.0,2015-03-23T00:00:00,2015-03-23,107.21,205.0
238580,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-23T00:00:00,2015-03-23,107.21,205.0
238505,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-20T00:00:00,2015-03-23,107.21,205.0
238719,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-23T00:00:00,2015-03-24,107.21,196.8
238997,3b777b775721dfa8d36de2a320a03e53,2.0,2015-03-25T00:00:00,2015-03-25,107.21,188.6
239331,3b777b775721dfa8d36de2a320a03e53,1.0,2015-03-27T00:00:00,2015-03-27,107.21,205.0
239226,3b777b775721dfa8d36de2a320a03e53,2.0,2015-03-27T00:00:00,2015-03-27,107.21,184.5
6307,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-01T00:00:00,2015-04-02,107.21,205.0
6577,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-07T00:00:00,2015-04-07,107.21,188.6
6626,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-08T00:00:00,2015-04-08,107.21,192.7
6844,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-10T00:00:00,2015-04-10,107.72,205.0
7120,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-13T00:00:00,2015-04-13,111.98,192.7
7180,3b777b775721dfa8d36de2a320a03e53,2.0,2015-04-13T00:00:00,2015-04-14,111.98,196.8
7581,3b777b775721dfa8d36de2a320a03e53,2.0,2015-04-15T00:00:00,2015-04-15,112.26,196.8
62658,3b777b775721dfa8d36de2a320a03e53,3.0,2015-04-20T00:00:00,2015-04-20,112.36,205.0
62643,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-20T00:00:00,2015-04-20,112.36,205.0
63193,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-27T00:00:00,2015-04-27,112.68,205.0
63377,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-27T00:00:00,2015-04-27,112.68,205.0
63306,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-27T00:00:00,2015-04-27,112.68,205.0
63562,3b777b775721dfa8d36de2a320a03e53,2.0,2015-04-28T00:00:00,2015-04-28,112.68,192.7
63421,3b777b775721dfa8d36de2a320a03e53,1.0,2015-04-27T00:00:00,2015-04-28,112.68,188.6
