,product_hash,sales_quantity,date_of_sale,requested_delivery_date,unit_price,unit_cost
174867,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-04T00:00:00,2016-01-04,115.76,196.8
174905,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-04T00:00:00,2016-01-04,113.83,196.8
174865,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-04T00:00:00,2016-01-04,113.83,196.8
174799,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-04T00:00:00,2016-01-04,113.83,205.0
175217,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-07T00:00:00,2016-01-07,115.4,188.6
175197,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-07T00:00:00,2016-01-07,113.83,188.6
175172,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-07T00:00:00,2016-01-07,113.83,180.4
175279,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-08T00:00:00,2016-01-08,113.84,188.6
85006,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-12T00:00:00,2016-01-12,113.83,192.7
84965,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-12T00:00:00,2016-01-12,113.83,205.0
85311,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-15T00:00:00,2016-01-15,113.84,196.8
85572,3b777b775721dfa8d36de2a320a03e53,3.0,2016-01-19T00:00:00,2016-01-19,113.84,196.8
85674,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-19T00:00:00,2016-01-19,113.84,196.8
85678,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-19T00:00:00,2016-01-20,12.19,21.4038
85937,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-21T00:00:00,2016-01-21,113.83,192.7
86007,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-22T00:00:00,2016-01-22,113.84,192.7
112318,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-26T00:00:00,2016-01-26,113.83,180.4
112390,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-26T00:00:00,2016-01-26,113.83,184.5
86528,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-26T00:00:00,2016-01-26,113.83,192.7
112479,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-27T00:00:00,2016-01-27,113.84,205.0
112545,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-27T00:00:00,2016-01-28,113.84,192.7
112586,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-28T00:00:00,2016-01-28,113.84,205.0
112830,3b777b775721dfa8d36de2a320a03e53,3.0,2016-01-29T00:00:00,2016-01-29,113.84,205.0
112861,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-29T00:00:00,2016-01-29,113.84,164.0
113043,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-01T00:00:00,2016-02-01,115.4,205.0
113126,3b777b775721dfa8d36de2a320a03e53,2.0,2016-02-01T00:00:00,2016-02-01,115.4,188.6
174537,3b777b775721dfa8d36de2a320a03e53,2.0,2015-12-22T00:00:00,2016-02-02,113.83,188.6
175312,3b777b775721dfa8d36de2a320a03e53,2.0,2016-01-08T00:00:00,2016-02-02,113.83,188.6
86048,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-22T00:00:00,2016-02-02,115.4,188.6
86032,3b777b775721dfa8d36de2a320a03e53,1.0,2016-01-22T00:00:00,2016-02-02,113.84,188.6
113504,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-03T00:00:00,2016-02-03,115.68,205.0
113398,3b777b775721dfa8d36de2a320a03e53,2.0,2016-02-03T00:00:00,2016-02-03,115.68,205.0
113760,3b777b775721dfa8d36de2a320a03e53,2.0,2016-02-04T00:00:00,2016-02-04,115.72,192.7
113903,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-04T00:00:00,2016-02-05,115.75,205.0
157581,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-08T00:00:00,2016-02-08,115.76,192.7
157807,3b777b775721dfa8d36de2a320a03e53,2.0,2016-02-10T00:00:00,2016-02-10,115.75,205.0
157778,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-09T00:00:00,2016-02-10,115.75,188.6
158761,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-17T00:00:00,2016-02-17,115.75,196.8
158649,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-17T00:00:00,2016-02-17,115.75,205.0
163991,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-19T00:00:00,2016-02-19,115.75,192.7
164067,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-19T00:00:00,2016-02-22,115.75,205.0
164578,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-24T00:00:00,2016-02-24,114.11,188.6
164557,3b777b775721dfa8d36de2a320a03e53,2.0,2016-02-24T00:00:00,2016-02-24,115.75,188.6
165462,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-02T00:00:00,2016-03-02,115.75,205.0
88463,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-03T00:00:00,2016-03-03,115.76,192.7
165041,3b777b775721dfa8d36de2a320a03e53,1.0,2016-02-29T00:00:00,2016-03-07,115.75,205.0
88816,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-07T00:00:00,2016-03-08,115.75,205.0
89006,3b777b775721dfa8d36de2a320a03e53,2.0,2016-03-08T00:00:00,2016-03-08,115.76,188.6
89691,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-11T00:00:00,2016-03-14,115.75,196.8
89816,3b777b775721dfa8d36de2a320a03e53,2.0,2016-03-14T00:00:00,2016-03-14,115.75,196.8
109432,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-15T00:00:00,2016-03-15,115.76,205.0
109342,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-15T00:00:00,2016-03-15,115.76,188.6
109563,3b777b775721dfa8d36de2a320a03e53,2.0,2016-03-16T00:00:00,2016-03-16,115.75,192.7
109614,3b777b775721dfa8d36de2a320a03e53,2.0,2016-03-16T00:00:00,2016-03-16,115.75,188.6
109842,3b777b775721dfa8d36de2a320a03e53,2.0,2016-03-18T00:00:00,2016-03-18,115.75,188.6
110224,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-22T00:00:00,2016-03-22,115.75,192.7
110547,3b777b775721dfa8d36de2a320a03e53,2.0,2016-03-29T00:00:00,2016-03-29,115.75,196.8
3486,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-30T00:00:00,2016-03-30,115.76,205.0
3448,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-30T00:00:00,2016-03-30,115.75,196.8
3418,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-30T00:00:00,2016-03-30,115.75,192.7
3602,3b777b775721dfa8d36de2a320a03e53,1.0,2016-03-31T00:00:00,2016-03-31,115.76,192.7
3718,3b777b775721dfa8d36de2a320a03e53,2.0,2016-04-01T00:00:00,2016-04-01,115.75,188.6
3809,3b777b775721dfa8d36de2a320a03e53,1.0,2016-04-04T00:00:00,2016-04-04,115.75,184.5
4544,3b777b775721dfa8d36de2a320a03e53,2.0,2016-04-08T00:00:00,2016-04-11,115.76,205.0
64426,3b777b775721dfa8d36de2a320a03e53,1.0,2016-04-15T00:00:00,2016-04-15,114.09,205.0
64389,3b777b775721dfa8d36de2a320a03e53,1.0,2016-04-15T00:00:00,2016-04-15,114.09,205.0
64492,3b777b775721dfa8d36de2a320a03e53,1.0,2016-04-18T00:00:00,2016-04-18,114.06,192.7
65585,3b777b775721dfa8d36de2a320a03e53,1.0,2016-04-27T00:00:00,2016-04-27,114.03,196.8
207391,3b777b775721dfa8d36de2a320a03e53,1.0,2016-04-27T00:00:00,2016-04-27,114.03,188.6
207472,3b777b775721dfa8d36de2a320a03e53,2.0,2016-04-28T00:00:00,2016-04-28,114.03,205.0
207483,3b777b775721dfa8d36de2a320a03e53,1.0,2016-04-28T00:00:00,2016-04-29,114.03,196.8
207819,3b777b775721dfa8d36de2a320a03e53,1.0,2016-05-02T00:00:00,2016-05-02,114.03,180.4
207839,3b777b775721dfa8d36de2a320a03e53,1.0,2016-05-02T00:00:00,2016-05-02,114.03,205.0
208043,3b777b775721dfa8d36de2a320a03e53,3.0,2016-05-03T00:00:00,2016-05-03,114.03,188.6
207932,3b777b775721dfa8d36de2a320a03e53,3.0,2016-05-03T00:00:00,2016-05-03,114.03,188.6
207910,3b777b775721dfa8d36de2a320a03e53,1.0,2016-05-03T00:00:00,2016-05-03,114.03,196.8
208487,3b777b775721dfa8d36de2a320a03e53,2.0,2016-05-09T00:00:00,2016-05-09,114.03,188.6
208286,3b777b775721dfa8d36de2a320a03e53,3.0,2016-05-09T00:00:00,2016-05-09,114.03,205.0
208736,3b777b775721dfa8d36de2a320a03e53,3.0,2016-05-10T00:00:00,2016-05-10,114.03,196.8
208578,3b777b775721dfa8d36de2a320a03e53,1.0,2016-05-10T00:00:00,2016-05-10,114.03,188.6
208784,3b777b775721dfa8d36de2a320a03e53,3.0,2016-05-11T00:00:00,2016-05-11,114.03,205.0
208907,3b777b775721dfa8d36de2a320a03e53,1.0,2016-05-11T00:00:00,2016-05-11,114.03,196.8
248628,3b777b775721dfa8d36de2a320a03e53,1.0,2016-05-12T00:00:00,2016-05-12,114.03,205.0
248966,3b777b775721dfa8d36de2a320a03e53,2.0,2016-05-16T00:00:00,2016-05-16,114.03,188.6
249330,3b777b775721dfa8d36de2a320a03e53,2.0,2016-05-19T00:00:00,2016-05-19,114.03,192.7
28820,3b777b775721dfa8d36de2a320a03e53,2.0,2016-05-26T00:00:00,2016-05-26,114.03,180.4
28992,3b777b775721dfa8d36de2a320a03e53,3.0,2016-05-27T00:00:00,2016-05-27,114.03,192.7
29498,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-01T00:00:00,2016-06-01,114.03,188.6
29859,3b777b775721dfa8d36de2a320a03e53,3.0,2016-06-03T00:00:00,2016-06-03,114.03,205.0
249854,3b777b775721dfa8d36de2a320a03e53,3.0,2016-05-25T00:00:00,2016-06-03,114.03,196.8
30053,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-07T00:00:00,2016-06-07,114.03,192.7
39461,3b777b775721dfa8d36de2a320a03e53,2.0,2016-06-13T00:00:00,2016-06-13,114.03,196.8
39764,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-14T00:00:00,2016-06-14,114.03,205.0
39983,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-15T00:00:00,2016-06-15,114.03,188.6
39932,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-15T00:00:00,2016-06-15,114.03,192.7
39843,3b777b775721dfa8d36de2a320a03e53,2.0,2016-06-15T00:00:00,2016-06-15,114.03,192.7
236796,3b777b775721dfa8d36de2a320a03e53,1.0,2016-06-21T00:00:00,2016-06-21,114.03,188.6
