,product_hash,sales_quantity,date_of_sale,requested_delivery_date,unit_price,unit_cost,week_number
85346,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-01-18T00:00:00,2016-01-18,156.09,295.0,3
85511,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-01-19T00:00:00,2016-01-19,0.0,295.0,3
86215,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-01-25T00:00:00,2016-01-25,142.48,295.0,4
86483,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-01-26T00:00:00,2016-01-26,0.0,295.0,4
112875,23bf69919a4b7cf45f74b1513cd18051,3.0,2016-01-29T00:00:00,2016-01-29,0.0,295.0,4
113314,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-02T00:00:00,2016-02-02,142.38,295.0,5
113476,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-03T00:00:00,2016-02-03,142.38,295.0,5
113640,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-03T00:00:00,2016-02-05,142.38,236.0,5
157495,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-08T00:00:00,2016-02-08,152.53,295.0,6
113629,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-03T00:00:00,2016-02-08,142.38,244.85,6
157723,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-09T00:00:00,2016-02-09,0.0,295.0,6
157852,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-10T00:00:00,2016-02-10,0.0,295.0,6
112798,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-01-29T00:00:00,2016-02-25,0.0,206.5,8
164964,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-02-29T00:00:00,2016-02-29,148.78,295.0,9
88403,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-03T00:00:00,2016-03-03,148.5,295.0,9
88929,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-08T00:00:00,2016-03-08,151.27,206.5,10
88970,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-08T00:00:00,2016-03-08,148.16,206.5,10
89596,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-10T00:00:00,2016-03-10,148.16,295.0,10
89826,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-14T00:00:00,2016-03-14,147.71,295.0,11
89789,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-14T00:00:00,2016-03-14,147.71,295.0,11
109509,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-16T00:00:00,2016-03-16,146.29,295.0,11
109879,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-18T00:00:00,2016-03-18,145.04,283.2,11
110049,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-21T00:00:00,2016-03-21,145.73,295.0,12
110588,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-03-29T00:00:00,2016-03-29,147.12,295.0,13
4321,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-04-07T00:00:00,2016-04-07,155.15,295.0,14
4463,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-04-08T00:00:00,2016-04-08,156.12,283.2,14
4448,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-04-08T00:00:00,2016-04-08,156.12,259.6,14
4590,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-04-11T00:00:00,2016-04-11,156.11,295.0,15
64512,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-04-18T00:00:00,2016-04-18,156.11,295.0,16
207794,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-02T00:00:00,2016-05-02,146.36,295.0,18
208258,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-06T00:00:00,2016-05-06,153.06,283.2,18
208407,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-09T00:00:00,2016-05-09,153.09,295.0,19
208522,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-10T00:00:00,2016-05-10,153.12,271.4,19
208170,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-06T00:00:00,2016-05-10,153.06,295.0,19
208551,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-10T00:00:00,2016-05-10,153.12,295.0,19
208909,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-11T00:00:00,2016-05-11,16.52,32.77,19
248633,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-12T00:00:00,2016-05-12,153.23,295.0,19
249041,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-16T00:00:00,2016-05-16,153.22,295.0,20
249217,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-18T00:00:00,2016-05-18,153.22,259.6,20
29205,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-05-31T00:00:00,2016-05-31,144.54,295.0,22
29545,23bf69919a4b7cf45f74b1513cd18051,6.0,2016-06-01T00:00:00,2016-06-01,159.4,295.0,22
29764,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-06-02T00:00:00,2016-06-02,159.4,295.0,22
39193,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-06-09T00:00:00,2016-06-09,0.0,283.2,23
39890,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-06-15T00:00:00,2016-06-15,0.0,295.0,24
236921,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-06-22T00:00:00,2016-06-22,142.97,295.0,25
30060,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-06-07T00:00:00,2016-06-22,0.0,283.2,25
237110,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-06-27T00:00:00,2016-06-27,154.44,0.0,26
237681,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-07-01T00:00:00,2016-07-01,155.86,295.0,26
237635,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-07-01T00:00:00,2016-07-01,154.43,295.0,26
237715,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-07-04T00:00:00,2016-07-04,156.03,283.2,27
238140,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-07-06T00:00:00,2016-07-06,156.03,295.0,27
217941,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-07-13T00:00:00,2016-07-13,156.04,295.0,28
218552,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-07-20T00:00:00,2016-07-20,158.14,295.0,29
42546,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-08-01T00:00:00,2016-08-01,158.44,295.0,31
42678,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-08-02T00:00:00,2016-08-02,158.84,295.0,31
42817,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-08-03T00:00:00,2016-08-03,158.84,283.2,31
42855,23bf69919a4b7cf45f74b1513cd18051,8.0,2016-08-04T00:00:00,2016-08-04,159.4,295.0,31
43430,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-08-11T00:00:00,2016-08-11,0.0,295.0,32
25859,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-08-16T00:00:00,2016-08-17,0.0,271.4,33
27012,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-08-24T00:00:00,2016-08-24,158.1,295.0,34
26856,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-08-24T00:00:00,2016-08-24,158.1,283.2,34
120030,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-08-26T00:00:00,2016-08-26,158.1,236.0,34
120138,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-08-29T00:00:00,2016-08-29,158.1,295.0,35
77316,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-09-09T00:00:00,2016-09-09,158.1,295.0,36
77829,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-09-13T00:00:00,2016-09-13,146.49,295.0,37
185914,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-09-21T00:00:00,2016-09-21,155.71,295.0,38
78834,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-09-21T00:00:00,2016-09-21,155.71,295.0,38
186141,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-09-22T00:00:00,2016-09-22,155.71,236.0,38
186853,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-09-29T00:00:00,2016-09-29,155.71,283.2,39
187040,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-09-30T00:00:00,2016-09-30,150.12,236.0,39
135769,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-10-06T00:00:00,2016-10-07,158.49,277.3,40
136108,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-10-10T00:00:00,2016-10-10,15.8,30.8038,41
136361,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-10-11T00:00:00,2016-10-11,151.0,295.0,41
136471,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-10-12T00:00:00,2016-10-12,151.0,295.0,41
111555,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-10-21T00:00:00,2016-10-25,158.91,236.0,43
87162,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-11-01T00:00:00,2016-11-01,157.0,295.0,44
87514,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-11-02T00:00:00,2016-11-02,156.94,295.0,44
87659,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-11-03T00:00:00,2016-11-03,156.94,236.0,44
178798,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-11-09T00:00:00,2016-11-09,156.9,295.0,45
143028,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-11-16T00:00:00,2016-11-16,156.92,277.3,46
143183,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-11-16T00:00:00,2016-11-16,156.92,283.2,46
135593,23bf69919a4b7cf45f74b1513cd18051,5.0,2016-10-05T00:00:00,2016-11-21,158.49,283.2,47
143785,23bf69919a4b7cf45f74b1513cd18051,3.0,2016-11-21T00:00:00,2016-11-21,157.02,283.2,47
143854,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-11-21T00:00:00,2016-11-22,157.02,295.0,47
126869,23bf69919a4b7cf45f74b1513cd18051,4.0,2016-11-23T00:00:00,2016-11-23,157.43,295.0,47
127236,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-11-24T00:00:00,2016-11-24,157.83,295.0,47
127435,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-11-25T00:00:00,2016-11-25,157.99,295.0,47
128130,23bf69919a4b7cf45f74b1513cd18051,4.0,2016-11-30T00:00:00,2016-11-30,158.17,283.2,48
70859,23bf69919a4b7cf45f74b1513cd18051,5.0,2016-12-06T00:00:00,2016-12-06,159.65,283.2,49
18578,23bf69919a4b7cf45f74b1513cd18051,2.0,2016-12-27T00:00:00,2016-12-27,156.73,283.2,52
18816,23bf69919a4b7cf45f74b1513cd18051,1.0,2016-12-31T00:00:00,2017-01-02,156.73,295.0,1
230190,23bf69919a4b7cf45f74b1513cd18051,4.0,2017-01-19T00:00:00,2017-01-19,156.73,291.84,3
226256,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-02-06T00:00:00,2017-02-06,156.73,304.0,6
67885,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-02-14T00:00:00,2017-02-14,156.73,295.0,7
68067,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-02-15T00:00:00,2017-02-16,156.73,291.84,7
68265,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-02-17T00:00:00,2017-02-17,156.73,295.0,7
68267,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-02-17T00:00:00,2017-02-17,156.73,295.0,7
338,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-02-23T00:00:00,2017-02-23,156.72,267.52,8
1193,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-03-02T00:00:00,2017-03-03,149.63,304.0,9
1530,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-03-06T00:00:00,2017-03-06,147.66,291.84,10
251392,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-03-08T00:00:00,2017-03-08,159.56,304.0,10
252073,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-03-14T00:00:00,2017-03-14,159.55,267.52,11
252136,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-03-14T00:00:00,2017-03-14,159.55,304.0,11
252248,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-03-15T00:00:00,2017-03-15,159.53,304.0,11
204706,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-03-22T00:00:00,2017-03-22,159.51,304.0,12
205290,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-03-27T00:00:00,2017-03-27,158.81,304.0,13
60125,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-04-03T00:00:00,2017-04-03,158.74,304.0,14
60573,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-04-05T00:00:00,2017-04-05,158.64,285.76,14
60796,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-04-06T00:00:00,2017-04-06,158.51,304.0,14
60800,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-04-06T00:00:00,2017-04-06,158.51,304.0,14
8461,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-04-18T00:00:00,2017-04-18,158.35,291.84,16
107118,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-05-03T00:00:00,2017-05-03,162.33,304.0,18
107320,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-05-04T00:00:00,2017-05-04,162.89,285.76,18
107445,23bf69919a4b7cf45f74b1513cd18051,3.0,2017-05-04T00:00:00,2017-05-05,163.65,291.84,18
107559,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-05-07T00:00:00,2017-05-08,164.71,304.0,19
91325,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-05-10T00:00:00,2017-05-10,164.71,304.0,19
92098,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-05-16T00:00:00,2017-05-16,150.28,291.84,20
166886,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-05-22T00:00:00,2017-05-22,159.19,304.0,21
166992,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-05-22T00:00:00,2017-05-22,159.19,285.76,21
167488,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-05-24T00:00:00,2017-05-26,0.0,304.0,21
152918,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-06-02T00:00:00,2017-06-02,168.08,279.68,22
153744,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-06-12T00:00:00,2017-06-12,169.5,279.68,24
153697,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-06-12T00:00:00,2017-06-12,169.5,304.0,24
117421,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-06-21T00:00:00,2017-06-21,170.21,304.0,25
82031,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-07-05T00:00:00,2017-07-05,170.45,285.76,27
118433,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-07-05T00:00:00,2017-07-05,170.45,285.76,27
118376,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-07-04T00:00:00,2017-07-05,170.45,285.76,27
82634,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-07-13T00:00:00,2017-07-13,170.94,304.0,28
83019,23bf69919a4b7cf45f74b1513cd18051,3.0,2017-07-17T00:00:00,2017-07-17,171.09,304.0,29
83247,23bf69919a4b7cf45f74b1513cd18051,2.0,2017-07-19T00:00:00,2017-07-19,171.72,285.76,29
83176,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-07-19T00:00:00,2017-07-19,171.72,304.0,29
83408,23bf69919a4b7cf45f74b1513cd18051,1.0,2017-07-24T00:00:00,2017-07-24,172.97,304.0,30
